Country,Year,Death_Injuries_Missing,Event
China,1999,11265,
China,2000,3026,
China,2001,942,
China,2002,207,
China,2003,6124,
China,2004,738,
China,2005,8069,
China,2006,249,
China,2007,332,
China,2008,463859,Sichuan earthquake
China,2009,381,
China,2010,14565,
China,2011,312,
China,2012,1355,
China,2013,12940,
China,2014,4354,
China,2015,333,
China,2016,737,
China,2017,621,
China,2018,377,
India,1999,494,
India,2000,0,
India,2001,186841,Gujarat earthquake
India,2002,2,
India,2003,0,
India,2004,0,
India,2005,50,
India,2006,11,
India,2007,9,
India,2008,74,
India,2009,11,
India,2010,10,
India,2011,325,
India,2012,2,
India,2013,95,
India,2014,0,
India,2015,2,
India,2016,113,
India,2017,3,
India,2018,1,
Indonesia,1999,225,
Indonesia,2000,2588,
Indonesia,2001,0,
Indonesia,2002,756,
Indonesia,2003,34,
Indonesia,2004,229257,Indian Ocean earthquake and tsunami
Indonesia,2005,1659,
Indonesia,2006,45743,Yogyakarta earthquake
Indonesia,2007,1103,
Indonesia,2008,1331,
Indonesia,2009,4249,
Indonesia,2010,451,
Indonesia,2011,24,
Indonesia,2012,74,
Indonesia,2013,2612,
Indonesia,2014,0,
Indonesia,2015,63,
Indonesia,2016,1019,
Indonesia,2017,67,
Indonesia,2018,15682,Sulawesi earthquake and tsunami
Japan,1999,0,
Japan,2000,142,
Japan,2001,163,
Japan,2002,0,
Japan,2003,1570,
Japan,2004,3311,
Japan,2005,584,
Japan,2006,8,
Japan,2007,1260,
Japan,2008,577,
Japan,2009,131,
Japan,2010,2,
Japan,2011,24733,Tohoku earthquake and tsunami
Japan,2012,11,
Japan,2013,28,
Japan,2014,66,
Japan,2015,12,
Japan,2016,1572,
Japan,2017,0,
Japan,2018,1097,